Id	Content	
string	string	
c	c	
10400001	农田	
10400002	木材	
10400003	精铁矿	
10400004	秘银矿	
10400005	贫瘠秘银矿	
10400011	采集获得粮食	
10400012	采集获得木材	
10400013	采集获得黑铁	
10400014	采集获得秘银	
10400015	采集获得少量秘银	
10610000	{0}{1}	
10610001	木粮铁银自选宝箱1	
10610002	木粮铁银自选宝箱2	
10610003	木粮铁银自选宝箱3	
10610004	木粮铁银自选宝箱4	
10610005	木粮铁银自选宝箱5	
10610006	木粮铁银自选宝箱6	
10610007	木粮铁银自选宝箱7	
10610008	时间自选宝箱1	
10610009	时间自选宝箱2	
10610010	时间自选宝箱3	
10610011	时间自选宝箱4	
10610012	时间自选宝箱5	
10610013	时间自选宝箱6	
10610014	时间自选宝箱7	
10610015	时间自选宝箱8	
10610016	时间自选宝箱9	
10610017	时间自选宝箱10	
10610101	木粮随机宝箱1	
10610102	木粮随机宝箱2	
10610111	木粮铁随机宝箱1	
10610112	木粮铁随机宝箱2	
10610113	木粮铁随机宝箱3	
10610121	木粮铁银随机宝箱1	
10610122	木粮铁银随机宝箱2	
10610123	木粮铁银随机宝箱3	
10610124	木粮铁银随机宝箱4	
10610125	木粮铁银随机宝箱5	
10610126	木粮铁银随机宝箱6	
10610127	木粮铁银随机宝箱7	
10610128	时间随机宝箱1	
10610129	时间随机宝箱2	
10610130	时间随机宝箱3	
10610131	时间随机宝箱4	
10610132	时间随机宝箱5	
10610133	时间随机宝箱6	
10610134	时间随机宝箱7	
10610135	时间随机宝箱8	
10610136	时间随机宝箱9	
10610137	时间随机宝箱10	
10611000	使用后获得{0}{1}	
10611001	使用后获得道具{0}和{1}	
10611002	使用后获得道具{0}、{1}和{2}	
10611003	使用后获得道具{0}、{1}、{2}和{3}	
10611004	使用后从道具{0}和{1}中选择一种获得	
10611005	使用后从道具{0}、{1}和{2}中选择一种获得	
10611006	使用后从道具{0}、{1}、{2}和{3}中选择一种获得	
10611007	使用后随机获取道具{0}或{1}	
10611008	使用后随机获取道具{0}、{1}和{2}中的一种	
10611009	使用后随机获取道具{0}、{1}、{2}和{3}中的一种	
10620001	{0}分钟加速	
10620002	{0}小时加速	
10620003	{0}天加速	
10620004	{0}分钟建造加速	
10620005	{0}小时建造加速	
10620006	{0}天建造加速	
10620007	{0}分钟研究加速	
